tile,scene_id,datetime,month_key,fai_mean,rednir_mean,ndwi_mean,kd490,chlor_a,nflh,sst,month_sin,month_cos,ndwi_std,rednir_std,hab_label,p_frcnn_r50_med,p_frcnn_mb_med,p_ssd_mb_med,p_tab,date_key,region_key,group_for_cv,_month_ord,month_num,sst_clim_rm,sst_anom,sst_anom_z,log_kd490,log_chlor_a,log_nflh,ratio_chl_kd,chl_times_nflh,ratio_nflh_kd,sst_anom_x_chlor_a,sst_anom_x_nflh,sst_anom_x_fai_mean,sst_anom_x_kd490,sst_anom_x_month_sin,sst_anom_x_month_cos
S2B_MSIL2A_20170909T065619_R063_T39QXG_20210201T223815_0000.jpg,S2B_MSIL2A_20170909T065619_R063_T39QXG_20210201T223815,2017-09-09 06:56:19.027000+00:00,2017-09,0.044839322566986,0.9070813655853271,-0.157337874174118,0.0852,0.741344,0.32883,25.7933,-1.0,-1.8369701987210294e-16,1.4901161193847656e-08,1.1920928955078125e-07,1,0.9754769206047058,0.3487369120121002,0.7956363558769226,0.5637064603578306,2017-09-09 06:56:19.027,T39QXG,S2B_MSIL2A_20170909T065619_R063_T39QXG_20210201T223815,24213,9,26.232494736842103,-0.4391947368421043,-1.6216746361301217,-1.0695604052332999,-0.1299802230131316,-0.48302856753067297,8.701220657276995,0.24377614752,3.8595070422535214,-0.32559438298947296,-0.14442040531578917,-0.019693194474985645,-0.03741939157894729,0.4391947368421043,8.067876430140705e-17
S2A_MSIL2A_20170825T065621_R063_T39QXG_20210201T094547_0000.jpg,S2A_MSIL2A_20170825T065621_R063_T39QXG_20210201T094547,2017-08-25 06:56:21.026000+00:00,2017-08,0.0548852682113647,0.930767297744751,-0.1537606567144394,0.0738,0.57676,0.235755,26.3283,-0.8660254037844384,-0.5000000000000004,1.4901161193847656e-08,1.1920928955078125e-07,1,0.4004035592079162,0.2417213916778564,0.436570405960083,0.4079738158933425,2017-08-25 06:56:21.026,T39QXG,S2A_MSIL2A_20170825T065621_R063_T39QXG_20210201T094547,24212,8,25.508007692307693,0.8202923076923057,1.7980894651551618,-1.1319436381769583,-0.2390048668421193,-0.6275390877767101,7.815176151761518,0.1359740538,3.194512195121951,0.47311179138461423,0.19338801299999953,0.045021963319411495,0.06053757230769216,-0.7103939769904978,-0.4101461538461532
S2B_MSIL2A_20170820T065619_R063_T39QXG_20201015T042237_0000.jpg,S2B_MSIL2A_20170820T065619_R063_T39QXG_20201015T042237,2017-08-20 06:56:19.027000+00:00,2017-08,0.0479737743735313,0.9054860472679138,-0.1651863306760788,0.0641,0.426916,0.214845,25.655,-0.8660254037844384,-0.5000000000000004,0.0,0.0,0,0.4004035592079162,0.2417213916778564,0.436570405960083,0.4211006128073691,2017-08-20 06:56:19.027,T39QXG,S2B_MSIL2A_20170820T065619_R063_T39QXG_20201015T042237,24212,8,25.508007692307693,0.1469923076923081,0.32220870224169773,-1.1931419704811825,-0.3696575683595656,-0.667874749020698,6.66015600624025,0.09172076802000001,3.3517160686427454,0.0627533680307694,0.03158056234615393,0.007051775803875477,0.009422206923076949,-0.12729907262243753,-0.07349615384615411
S2A_MSIL2A_20170805T065621_R063_T39QXG_20210210T194556_0000.jpg,S2A_MSIL2A_20170805T065621_R063_T39QXG_20210210T194556,2017-08-05 06:56:21.026000+00:00,2017-08,0.0518622994422912,0.91467946767807,-0.1642055809497833,0.0674,0.339185,0.122046,25.37,-0.8660254037844384,-0.5000000000000004,2.9802322387695312e-08,1.788139343261719e-07,0,0.4004035592079162,0.2417213916778564,0.436570405960083,0.4046991096786643,2017-08-05 06:56:21.026,T39QXG,S2A_MSIL2A_20170805T065621_R063_T39QXG_20210210T194556,24212,8,25.508007692307693,-0.13800769230769205,-0.30251432973563624,-1.1713401034646802,-0.4695633620794514,-0.9134764498100445,5.032418397626113,0.04139617251,1.8107715133531157,-0.04681013911538453,-0.016843286815384585,-0.007157396263801113,-0.009301718461538445,0.11951816745612755,0.06900384615384608
S2B_MSIL2A_20170731T065619_R063_T39QXG_20210210T172720_0000.jpg,S2B_MSIL2A_20170731T065619_R063_T39QXG_20210210T172720,2017-07-31 06:56:19.027000+00:00,2017-07,0.0390426144003868,0.8950853943824768,-0.1654534339904785,0.0652,0.452843,0.379235,25.7767,-0.5000000000000001,-0.8660254037844386,0.0,1.788139343261719e-07,1,0.7057780623435974,0.2137039750814438,0.385426789522171,0.436166637163638,2017-07-31 06:56:19.027,T39QXG,S2B_MSIL2A_20170731T065619_R063_T39QXG_20210210T172720,24211,7,25.825766666666667,-0.049066666666664815,-0.09490163126473648,-1.1857524042680798,-0.3440523411482712,-0.4210915879863479,6.945444785276075,0.171733915105,5.8164877300613504,-0.022219496533332495,-0.01860779733333263,-0.001915690946578907,-0.0031991466666665457,0.024533333333332415,0.04249297981235485
S2A_MSIL2A_20170626T065621_R063_T39QXG_20210210T014612_0000.jpg,S2A_MSIL2A_20170626T065621_R063_T39QXG_20210210T014612,2017-06-26 06:56:21.026000+00:00,2017-06,0.0431606546044349,0.9044514298439026,-0.1620793044567108,0.0636,0.29478,0.32883,25.8183,1.2246467991473532e-16,-1.0,1.4901161193847656e-08,1.788139343261719e-07,0,0.7883565723896027,0.2105096951127051,0.4856774657964706,0.3853368995615804,2017-06-26 06:56:21.026,T39QXG,S2A_MSIL2A_20170626T065621_R063_T39QXG_20210210T014612,24210,6,26.377074999999998,-0.5587749999999971,-1.0029338179869611,-1.1965428843515862,-0.5305019854815346,-0.48302856753067297,4.634905660377358,0.09693250739999999,5.1702830188679245,-0.16471569449999915,-0.18374198324999907,-0.024117094776592986,-0.03553808999999982,-6.843020151935588e-17,0.5587749999999971
S2A_MSIL2A_20170606T065621_R063_T39QXG_20210209T205041_0000.jpg,S2A_MSIL2A_20170606T065621_R063_T39QXG_20210209T205041,2017-06-06 06:56:21.026000+00:00,2017-06,0.0446950420737266,0.9168644547462464,-0.1514034122228622,0.0874,0.776011,0.32883,26.0067,1.2246467991473532e-16,-1.0,0.0,1.788139343261719e-07,1,0.7883565723896027,0.2105096951127051,0.4856774657964706,0.5060881066605246,2017-06-06 06:56:21.026,T39QXG,S2A_MSIL2A_20170606T065621_R063_T39QXG_20210209T205041,24210,6,26.377074999999998,-0.37037499999999923,-0.6647785116315545,-1.058488567365597,-0.11013212254923171,-0.48302856753067297,8.878844393592678,0.25517569713,3.762356979405034,-0.2874150741249994,-0.12179041124999976,-0.016553926208056454,-0.032370774999999935,-4.535785582342e-17,0.37037499999999923
S2A_MSIL2A_20180929T065651_R063_T39QXG_20201009T060705_0000.jpg,S2A_MSIL2A_20180929T065651_R063_T39QXG_20201009T060705,2018-09-29 06:56:51.024000+00:00,2018-09,0.0421377196907997,0.9059388637542723,-0.1600859314203262,0.0979,0.946864,0.336352,26.385,-1.0,-1.8369701987210294e-16,1.4901161193847656e-08,1.788139343261719e-07,0,0.9810630679130554,0.3488015234470367,0.7660241723060608,0.76449967286238,2018-09-29 06:56:51.024,T39QXG,S2A_MSIL2A_20180929T065651_R063_T39QXG_20201009T060705,24225,9,26.232494736842103,0.1525052631578987,0.5631076522404368,-1.009217308196862,-0.02371239511613574,-0.4732059855926509,9.671746680286006,0.318479600128,3.4356690500510725,0.1444017434947406,0.05129545027368554,0.006426224030319178,0.014930265263158283,-0.1525052631578987,-2.8014762356916807e-17
S2B_MSIL2A_20180924T065619_R063_T39QXG_20201009T042750_0000.jpg,S2B_MSIL2A_20180924T065619_R063_T39QXG_20201009T042750,2018-09-24 06:56:19.024000+00:00,2018-09,0.0395934581756591,0.9157702922821044,-0.1448828876018524,0.0979,0.946864,0.336352,26.385,-1.0,-1.8369701987210294e-16,2.9802322387695312e-08,1.1920928955078125e-07,0,0.9810630679130554,0.3488015234470367,0.7660241723060608,0.8334755984301307,2018-09-24 06:56:19.024,T39QXG,S2B_MSIL2A_20180924T065619_R063_T39QXG_20201009T042750,24225,9,26.232494736842103,0.1525052631578987,0.5631076522404368,-1.009217308196862,-0.02371239511613574,-0.4732059855926509,9.671746680286006,0.318479600128,3.4356690500510725,0.1444017434947406,0.05129545027368554,0.006038210758410147,0.014930265263158283,-0.1525052631578987,-2.8014762356916807e-17
S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121_0000.jpg,S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121,2018-09-19 06:56:21.024000+00:00,2018-09,0.0470229387283325,0.9113800525665284,-0.163395419716835,0.0626,0.384632,0.23686,26.335,-1.0,-1.8369701987210294e-16,0.0,1.1920928955078125e-07,0,0.9810630679130554,0.3488015234470367,0.7660241723060608,0.7873454861325427,2018-09-19 06:56:21.024,T39QXG,S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121,24225,9,26.232494736842103,0.10250526315789799,0.3784885641577447,-1.2034256667895702,-0.414954586854437,-0.6255082750561838,6.144281150159744,0.09110393551999998,3.7837060702875394,0.03942680437894862,0.024279396631579714,0.0048200987088054354,0.006416829473684414,-0.10250526315789799,-1.8829911363311527e-17
S2B_MSIL2A_20180914T065619_R063_T39QXG_20201009T011434_0000.jpg,S2B_MSIL2A_20180914T065619_R063_T39QXG_20201009T011434,2018-09-14 06:56:19.024000+00:00,2018-09,0.0424590334296226,0.8981236815452576,-0.1677370965480804,0.0626,0.384632,0.23686,26.335,-1.0,-1.8369701987210294e-16,2.9802322387695312e-08,0.0,0,0.9810630679130554,0.3488015234470367,0.7660241723060608,0.6739212185635337,2018-09-14 06:56:19.024,T39QXG,S2B_MSIL2A_20180914T065619_R063_T39QXG_20201009T011434,24225,9,26.232494736842103,0.10250526315789799,0.3784885641577447,-1.2034256667895702,-0.414954586854437,-0.6255082750561838,6.144281150159744,0.09110393551999998,3.7837060702875394,0.03942680437894862,0.024279396631579714,0.004352274395133453,0.006416829473684414,-0.10250526315789799,-1.8829911363311527e-17
